pid,smd_prp,Country,MPA,MPA_shr,AvgExp,socmed,ud_to_vis,est_vis,est_exp,corals,mangroves,beach,temp,dayshot,precip,daysrain,vis_log,protected,prop_land,wildlife,C3P,air_min_dist,ports_min_dist,ruins,sargassum,roads_min_dist
2886,4.548969658e-6,Honduras,NA,NA,60,smud_prop,8046969.5421636505,36.605420286152594,2196,0,0,0,27.1038818359375,0.016483519226313,53.15792465209961,11.754578590393066,3.627148196552904,0,0,0,0.002617,110825.21451458511,14133.197000804217,0,0,31009.12411865127
2887,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,1,0,0,27.216110229492188,2.761904716491699,1765.7628173828125,216.92124938964844,0,0,0,0,0.003341,114783.48726644169,10241.417517344022,0,0,34299.84877413471
2888,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,1,0,0,27.216110229492188,2.761904716491699,1765.7628173828125,216.92124938964844,0,0,0,0,0.003341,118820.37370182508,7478.925695399706,0,0,34299.616745257204
2889,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,1,0,0,27.216110229492188,2.761904716491699,1765.7628173828125,216.92124938964844,0,0,0,0,0.003465,122928.11849648134,6070.058339430088,0,0,35042.20629017927
2890,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,27.216110229492188,2.761904716491699,1765.7628173828125,216.92124938964844,0,0,0,0,0.003465,127099.8407900401,7997.599569134366,0,0,36480.97679809583
2891,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,27.216110229492188,2.761904716491699,1765.7628173828125,216.92124938964844,0,0,0,0,0.004258,131329.43297991663,10974.8672924144,0,0,38535.92749724355
2892,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,27.787181854248047,5.827838897705078,1796.3890380859375,219.10989379882812,0,0,0,0,0.004258,135611.46939806952,15022.481294519981,0,0,41008.823646373276
2893,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,27.787181854248047,5.827838897705078,1796.3890380859375,219.10989379882812,0,0,0,0,0.004258,139941.1247740399,19517.12702952166,0,0,43533.088549737746
2894,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,27.787181854248047,5.827838897705078,1796.3890380859375,219.10989379882812,0,0,0,0,0.003975,144314.10199001373,24211.05155390166,0,0,46377.64876283129
2895,2.34272359e-7,Belize,NA,NA,148,smud_prop,15470069.331198437,3.62420963611341,536,0,0,0,22.93208885192871,0.120879121124744,2870.27099609375,258.5952453613281,1.531305466872124,0,1,0,7.16e-4,98760.31281160285,71341.64161447849,0,0,13580.570362143542
2896,4.68544719e-7,Belize,NA,NA,148,smud_prop,15470069.331198437,7.24841928769689,1073,0,0,0,22.93208885192871,0.120879121124744,2870.27099609375,258.5952453613281,2.110021580497393,0,1,0,7.43e-4,102934.34313191044,69020.14994913903,0,0,12544.879451063389
2897,0,Belize,NA,NA,148,smud_prop,15470069.331198437,0,0,0,0,0,25.358081817626953,2.067765474319458,2992.98388671875,256.1044006347656,0,0,1,0,0.001127,107179.10773477578,66991.82243789111,0,0,12545.18615982471
2898,0,Belize,NA,NA,148,smud_prop,15470069.331198437,0,0,0,0,0,25.358081817626953,2.067765474319458,2992.98388671875,256.1044006347656,0,0,1,0,0.001127,111486.54305477801,65284.02182515141,0,0,10998.95861510944
2899,0,Belize,NA,NA,148,smud_prop,15470069.331198437,0,0,0,0,0,25.358081817626953,2.067765474319458,2992.98388671875,256.1044006347656,0,0,1,0,0.001127,115849.67325927984,63922.47512306953,0,0,8636.862038228996
