pid,country,name_2,coral_prop,forest,beach,mangrove,wildlife,ruins,roads,develop,pa_min_dist
237,Belize,Corozal Bay,0,0,1,1,0,0,0,0,24255.98998557591
238,Belize,Corozal Bay,0,0,1,1,0,0,0,0,20937.450887777388
239,Mexico,Ría Lagartos,0,1,0,1,1,0,1,1,0
240,Honduras,Omoa,0,1,0,0,0,0,0,0,23003.670773662267
241,Honduras,Omoa,0,1,0,0,0,0,0,0,22039.121693354096
242,Honduras,Zona de Interconexion,0,1,0,0,0,0,0,0,19272.566552771565
243,Honduras,Zona de Interconexion,0.7892976588628763,1,1,0,0,0,1,0,13749.04359041896
244,Honduras,Zona de Interconexion,0,0,0,0,0,0,0,0,12271.517197210982
245,Belize,South Water Caye,0.7950347805229072,0,0,0,1,0,0,0,25909.757109148246
246,Belize,South Water Caye,0.9255711127487104,0,0,0,1,0,0,0,19043.430406113886
247,Belize,South Water Caye,1,0,0,1,1,0,0,0,15217.574870719742
248,Belize,Hol Chan,0.9727403156384505,0,0,1,1,0,0,0,10973.208631806225
249,Belize,Hol Chan,0,0,0,0,0,0,0,0,10244.023126087704
250,Belize,Corozal Bay,0,0,0,1,0,0,0,0,13353.81876341225
251,Belize,Hol Chan,0,0,0,0,0,0,0,0,14378.214875422718
252,Belize,Corozal Bay,0,0,0,0,0,0,0,0,15161.186870896812
253,Belize,Corozal Bay,0,0,1,1,0,0,0,0,21402.930192089854
254,Belize,Corozal Bay,0,0,1,1,1,0,0,0,23230.94610501821
255,Belize,Corozal Bay,0,0,1,1,1,0,0,0,21690.2646016805
256,Belize,Corozal Bay,0,0,1,1,0,0,0,0,22535.643833449838
257,Belize,Corozal Bay,0,0,0,0,0,0,0,0,21631.058719751687
258,Mexico,Ría Lagartos,0,0,0,1,1,0,0,0,2530.4603034047914
259,Honduras,Omoa,0,1,0,0,0,0,0,0,22636.772895036727
260,Honduras,Zona de Interconexion,0,1,0,0,0,0,0,0,14365.807481832428
261,Honduras,Zona de Interconexion,0.33481575603557817,1,1,0,0,0,1,1,9948.909624943557
262,Honduras,Zona de Interconexion,0,0,0,0,0,0,0,0,10522.217200070154
263,Belize,South Water Caye,1,0,0,0,1,0,0,0,23910.00334114839
264,Belize,South Water Caye,0.8966638152266895,0,0,1,1,0,0,0,18385.455880971662
265,Belize,Hol Chan,1,0,0,1,0,0,0,0,11025.4440832957
266,Belize,Hol Chan,0.4421052631578947,0,0,0,0,0,0,0,7626.55506457878
267,Belize,Hol Chan,0,0,0,0,0,0,0,0,9628.279237898527
268,Belize,Corozal Bay,0,0,0,1,0,0,0,0,13423.611107061166
269,Belize,Hol Chan,0,0,0,0,0,0,0,0,16402.93019208982
270,Belize,Corozal Bay,0,0,0,0,0,0,0,0,18226.415875257277
271,Belize,Corozal Bay,0,0,0,0,0,0,0,0,22984.168858362795
272,Belize,Corozal Bay,0,0,0,0,0,0,0,0,19600.48595678227
273,Belize,Corozal Bay,0,0,0,0,0,0,0,0,19273.04864736189
274,Belize,Corozal Bay,0,0,0,0,0,0,0,0,21848.51106588096
275,Mexico,Ría Lagartos,0,1,0,1,1,0,1,0,4660.37992293218
276,Honduras,Zona de Interconexion,0,1,0,0,0,0,0,0,16552.06193006987
277,Honduras,Zona de Interconexion,0,1,0,0,0,0,1,1,9556.203622734307
278,Honduras,Zona de Interconexion,0.3765586034912718,0,0,0,0,0,0,0,7271.517197210507
279,Belize,South Water Caye,0,0,0,0,0,0,0,0,22848.65436064998
280,Belize,South Water Caye,0.930780559646539,0,0,0,0,0,0,0,19790.97920200385
281,Belize,Caye Caulker,0.9074941451990632,0,0,0,1,0,0,0,1526.8557103720452
282,Belize,Caye Caulker,0,0,0,1,0,0,0,0,5210.3442762733575
283,Belize,Hol Chan,0.8299445471349353,0,1,1,0,0,0,1,6908.4041727569975
284,Belize,Hol Chan,0,0,0,0,0,0,0,0,5354.853794646854
285,Belize,Hol Chan,0.8253968253968254,0,0,1,0,0,0,0,11402.930192090473
286,Belize,Corozal Bay,0,0,0,0,0,0,0,0,19020.020119450215
287,Belize,Corozal Bay,0,0,0,0,0,0,0,0,19565.209757695422
288,Belize,Corozal Bay,0,0,0,0,0,0,0,0,18038.35243821107
289,Belize,Corozal Bay,0,0,0,0,0,0,0,0,18799.85481941902
290,Belize,Corozal Bay,0,0,0,0,0,0,0,0,22815.443262922392
291,Mexico,Ría Lagartos,0,0,0,1,1,0,0,0,6320.484175039523
292,Mexico,Ría Lagartos,0,0,0,1,1,0,1,0,2367.668226219026
293,Honduras,Zona de Interconexion,0,1,0,0,0,0,0,0,11505.539692594233
294,Honduras,Zona de Interconexion,0.20078125,1,1,0,0,0,1,1,5125.000561288019
295,Honduras,Zona de Interconexion,0.79244499792445,0,0,0,0,0,0,0,6164.566719027701
296,Belize,Turneffe Atoll (Maugre),0,0,0,0,0,0,0,0,22679.72489286973
297,Belize,Turneffe Atoll (Maugre),0,0,0,0,0,0,0,0,19927.160135938877
298,Belize,Turneffe Atoll (Maugre),0,0,0,0,0,0,0,0,20055.91112352466
299,Belize,Caye Caulker,0.9552036199095023,0,0,0,1,0,0,0,1259.6892027989124
300,Belize,Hol Chan,1,0,0,0,0,0,0,0,8723.624872488668
301,Belize,Hol Chan,0.13428571428571429,0,1,1,0,0,0,0,2895.7709189261855
302,Belize,Hol Chan,0,0,0,0,0,0,0,0,6402.930192089915
303,Belize,Hol Chan,0,0,0,1,0,0,0,0,14061.71623321224
304,Belize,Corozal Bay,1,0,0,0,0,0,0,0,16761.16780095989
305,Belize,Corozal Bay,0,0,0,0,0,0,0,0,19009.717833068775
306,Belize,Corozal Bay,0,0,0,0,0,0,0,0,18351.765577561044
307,Belize,Corozal Bay,0,0,0,0,0,0,0,0,18070.043363212975
308,Belize,Corozal Bay,0,0,0,0,0,0,0,0,20488.950066110512
309,Mexico,Ría Lagartos,0,0,0,1,1,0,1,0,1320.484175039685
310,Honduras,Zona de Interconexion,0,1,0,0,0,0,0,0,6505.5396925942805
311,Honduras,Zona de Interconexion,0.7966294262450293,0,1,0,0,0,0,1,2271.5171972098865
312,Honduras,Zona de Interconexion,0.3273381294964029,0,0,0,0,0,0,0,8265.97750461555
313,Belize,Turneffe Atoll (Maugre),0,0,0,0,1,0,0,0,23165.13636344412
314,Belize,Turneffe Atoll (Maugre),0,0,0,0,1,0,0,0,18556.544198854
315,Belize,Turneffe Atoll (Maugre),1,0,0,0,0,0,0,0,17277.096709153036
316,Belize,Turneffe Atoll (Maugre),0,0,0,0,0,0,0,0,18900.13180860151
317,Belize,Caye Caulker,0.9359861591695502,0,0,0,1,0,0,0,2257.5449442955405
318,Belize,Caye Caulker,0.833983866770752,0,0,0,0,0,0,0,4655.255187530251
319,Belize,Hol Chan,0.911797627042758,0,0,0,1,0,0,1,4994.530883533446
320,Belize,Hol Chan,0,0,1,1,0,0,0,0,2884.7901123909105
321,Belize,Hol Chan,0,0,0,0,0,0,0,0,9148.910399741422
322,Belize,Corozal Bay,1,0,0,1,0,0,0,0,17620.885752382066
323,Belize,Corozal Bay,0,0,0,0,0,0,0,0,15967.638944156915
324,Mexico,Ría Lagartos,0,1,0,1,1,0,0,0,4489.867478024177
325,Mexico,Ría Lagartos,0,0,1,0,1,0,1,1,13.268901677865003
326,Honduras,Zona de Interconexion,0,1,0,0,0,0,0,0,9366.842032775066
327,Honduras,Zona de Interconexion,0,1,1,0,0,0,1,1,1505.5396925937926
328,Honduras,Zona de Interconexion,0.4336569579288026,1,1,0,0,0,0,1,3265.9775046166756
329,Belize,Turneffe Atoll (Maugre),0,0,0,0,0,0,0,0,24675.43645526153
330,Belize,Turneffe Atoll (Maugre),1,0,0,0,1,0,0,0,18482.395789635004
331,Belize,Turneffe Atoll (Maugre),1,0,0,1,1,0,0,0,14977.341018745998
332,Belize,Turneffe Atoll (Maugre),0.984323733138899,0,0,0,0,0,0,0,15148.221146496897
333,Belize,Turneffe Atoll (Maugre),0,0,0,0,0,0,0,0,19031.300369924207
334,Belize,Caye Caulker,0,0,0,0,0,0,0,0,4259.888996356533
335,Belize,Hol Chan,0.872072072072072,0,0,0,1,0,0,0,7196.493185778111
336,Belize,Hol Chan,1,0,1,1,0,0,0,0,5172.502825173462
337,Belize,Hol Chan,1,0,0,1,0,0,0,0,13094.514606414396
338,Belize,Corozal Bay,1,0,0,1,0,0,0,0,16554.092744984355
339,Belize,Corozal Bay,1,0,0,1,0,0,0,0,15635.431752148239
340,Mexico,Ría Lagartos,0,0,1,1,1,0,1,1,1452.8159488203178
341,Honduras,Zona de Interconexion,0,1,0,0,0,0,0,0,4762.597268405256
342,Honduras,Zona de Interconexion,1,1,1,0,0,0,1,1,0
343,Honduras,Zona de Interconexion,0.8240917782026769,0,0,0,0,0,0,0,6793.735121515998
344,Belize,Turneffe Atoll (Maugre),0.9855153203342618,0,0,0,0,0,0,0,19719.34521340432
345,Belize,Turneffe Atoll (Maugre),0.9917284654877353,0,0,1,0,0,0,0,14020.498047947425
346,Belize,Turneffe Atoll (Maugre),0.9943534726143421,0,0,1,0,0,0,0,12277.09670915263
