pid,MPA,beach,mangrove,wildlife,forest,ruins,roads,develop,cellarea,prop_coral,pa_min_dist,country
1434,NA,0,0,0,0,0,0,0,21650635.094613552,0,39172.63199462022,Honduras
1435,NA,0,0,0,0,0,1,1,21650635.094612956,0,43936.62399536877,Honduras
1436,NA,0,0,0,0,0,0,0,21650635.09460926,0,48747.910302235796,Honduras
1437,NA,0,0,0,0,0,0,1,21650635.094612002,0,49242.25903585628,Honduras
1438,NA,0,0,0,0,0,1,1,21650635.094609022,0,46435.14227165884,Honduras
1439,NA,0,0,0,0,0,1,1,21650635.094608307,0,43916.31457715013,Honduras
1440,NA,0,0,0,0,0,0,1,21650635.09461534,0,41654.11202839417,Honduras
1441,NA,0,0,0,0,0,0,1,21650635.09460926,0,39893.45073704219,Honduras
1442,NA,0,0,0,0,0,0,1,21650635.094606757,0,38702.839360229016,Honduras
1443,NA,0,0,0,0,0,1,1,21650635.094614744,0,38135.70685562904,Honduras
1444,NA,0,0,0,0,0,1,1,21650635.0946095,0,38219.81816039067,Honduras
1445,NA,0,0,0,0,0,0,0,21650635.094613194,0,38950.95458455567,Honduras
1446,NA,0,0,0,0,0,0,0,21650635.094608426,0,40293.91053103322,Honduras
1447,NA,0,0,0,0,0,0,0,21650635.09461558,0,42190.30206952488,Honduras
1448,NA,0,0,0,0,0,0,0,21650635.09460914,0,44558.39809195906,Honduras
1449,NA,0,0,0,0,0,0,0,21650635.094609022,0,47121.60933305815,Honduras
1450,NA,0,0,0,0,0,1,1,21650635.094609976,0,50018.680799998896,Honduras
1451,NA,0,0,0,0,0,0,1,21650635.094613194,0,52544.82799498318,Guatemala
1452,NA,0,0,0,0,0,0,1,21650635.094612956,0,47800.72122187109,Guatemala
1453,NA,0,0,0,0,0,0,0,21650635.094606936,0,43114.48654037184,Guatemala
1454,NA,0,0,0,0,0,0,1,21650635.09461671,0,38507.25840602806,Guatemala
1455,NA,0,0,0,0,0,1,1,21650635.094609737,0,34011.15920190671,Guatemala
1456,NA,0,0,0,0,0,1,1,21650635.094613492,0,29676.740902029578,Guatemala
1457,NA,0,0,0,0,0,0,1,21650635.09460938,0,25586.303970580902,Guatemala
1458,NA,0,0,0,0,0,0,1,21650635.094611347,0,21877.13306591496,Guatemala
1459,NA,0,0,0,0,0,0,1,21650635.094616175,0,18776.55323781425,Guatemala
1460,NA,0,0,0,0,0,0,0,21650635.09460807,0,16269.077013047425,Guatemala
1461,NA,0,0,0,0,0,0,0,21650635.094609916,0,14616.18510984376,Guatemala
1462,NA,0,0,0,1,0,0,1,21650635.09461564,0,9801.449440257105,Guatemala
1463,NA,0,0,0,1,0,0,1,21650635.094611406,0,4889.611903393247,Guatemala
1464,NA,0,1,0,1,0,0,1,21650635.094611585,0,976.3349043305225,Guatemala
1465,NA,0,0,0,0,0,1,1,21650635.094611168,0,1260.3242479210219,Guatemala
1466,NA,0,0,0,0,0,1,1,21650635.094614863,0,5439.493674747997,Guatemala
1467,NA,0,0,0,0,0,0,0,21650635.09461546,0,9159.975457295008,Guatemala
1468,NA,0,0,0,0,0,0,0,21650635.09461224,0,13556.36241853306,Guatemala
1469,NA,0,0,0,0,0,0,1,21650635.094610572,0,18265.945736999827,Guatemala
1470,NA,0,0,0,0,0,0,1,21640700.579832733,0,23097.93465466843,Guatemala
1471,NA,0,0,0,0,0,0,0,24311.88136471808,0,28544.611228877813,Honduras
1472,NA,0,0,0,0,0,0,0,4179484.1837362647,0,27989.004929716655,Guatemala
1473,NA,0,1,0,0,0,0,0,6846842.318250716,0,28590.32278086182,Honduras
1474,NA,0,0,0,0,0,0,0,2427666.165487908,0,32983.39308936896,Honduras
1475,NA,0,0,0,0,0,0,0,804603.2011030763,0,21259.265099748427,Honduras
1476,NA,0,0,0,0,0,0,0,19062824.71254134,0,16505.554007163842,Honduras
1477,NA,0,0,0,0,0,0,0,21650635.094614863,0,14240.545164876761,Honduras
1478,NA,0,0,0,0,0,1,1,21650635.094605446,0,13419.312747708564,Honduras
1479,NA,0,0,0,0,0,0,0,21650635.094613552,0,14400.096619421907,Honduras
1480,NA,0,0,0,0,0,0,1,21650635.094614267,0,16734.022495383964,Honduras
1481,NA,0,0,0,0,0,0,1,21650635.09461236,0,19566.70543731158,Honduras
1482,NA,0,0,0,0,0,0,0,21650635.094611645,0,23133.110246968554,Honduras
1483,NA,0,0,0,0,0,0,1,21650635.094612002,0,23381.053239709847,Honduras
1484,NA,0,0,0,0,0,0,0,21650635.094613552,0,18911.05862249965,Honduras
1485,NA,0,0,0,0,0,1,0,21650635.094610453,0,14784.540095961924,Honduras
1486,NA,0,0,0,0,0,0,0,21650635.094614744,0,11381.437232378223,Honduras
1487,NA,0,0,0,0,0,0,0,21650635.094613075,0,8870.617194673927,Honduras
1488,NA,0,0,0,0,0,0,0,21650635.094609022,0,8040.045835685856,Honduras
1489,NA,0,0,0,0,0,0,0,21650635.094616175,0,9945.676743128413,Honduras
1490,NA,0,0,0,0,0,0,0,21650635.094616294,0,12743.648470943563,Honduras
1491,NA,0,0,0,0,0,1,1,21650635.094607115,0,16452.434307557658,Honduras
1492,NA,0,0,0,0,0,0,0,21650635.094616055,0,20698.525338385858,Honduras
1493,NA,0,0,0,0,0,0,0,21650635.0946095,0,25222.51588805487,Honduras
1494,NA,0,0,0,0,0,0,0,21650635.094614744,0,29898.522777261802,Honduras
