pid,country,name_2,cellarea,coral_prop,coral_prop25,coral_prop75,forest_prop,beach,wildlife,ruins,roads,develop,pa_min_dist,prop_mangrove_lg,prop_mangrove_deg_lg,prop_mangrove_deg_sm,prop_mangrove_sm
5638,Honduras,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,64288.8212889746,0,0,0,0
5639,Mexico,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,71843.1509820622,0,0,0,0
5640,Mexico,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,69685.9222515863,0,0,0,0
5641,Mexico,NA,21650635.094611645,0,0,0,0,0,0,0,0,0,68562.50562134628,0,0,0,0
5642,Mexico,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,68414.98462879982,0,0,0,0
5643,Mexico,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,65369.06328792525,0,0,0,0
5644,Mexico,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,60735.67959319466,0,0,0,0
5645,Mexico,NA,21650635.094611645,0,0,0,0,0,0,0,0,0,57048.497930737285,0,0,0,0
5646,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,54499.90327202319,0,0,0,0
5647,Mexico,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,53253.61769087613,0,0,0,0
5648,Mexico,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,53195.42609570597,0,0,0,0
5649,Mexico,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,54272.10791935383,0,0,0,0
5650,Mexico,NA,21650635.094611645,0,0,0,0,0,0,0,0,0,56667.18661197507,0,0,0,0
5651,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,60223.569962454516,0,0,0,0
5652,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,64750.18702312001,0,0,0,0
5653,Mexico,NA,21650635.094610333,0,0,0,0,0,0,0,0,0,70059.2253742175,0,0,0,0
5654,Mexico,NA,21650635.094610333,0,0,0,0,0,0,0,0,0,67737.00897881907,0,0,0,0
5655,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,60219.28391612491,0,0,0,0
5656,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,52888.23156460779,0,0,0,0
